epoch,loss,val_loss,item
0,1000.06855600448,779.076985634698,SIMPLEA
1,770.526680928185,785.755542479621,SIMPLEA
2,640.223790273212,203.979234896766,SIMPLEA
3,110.011538233076,96.7095278739929,SIMPLEA
4,71.920877294881,65.6165372689565,SIMPLEA
5,55.8572554225013,70.3511319531335,SIMPLEA
6,49.1557825559662,45.4131721125709,SIMPLEA
7,44.7916161769912,47.3469775782691,SIMPLEA
8,38.6117430879956,44.6555125130548,SIMPLEA
9,35.3206976862181,39.3393278704749,SIMPLEA
10,31.8075445413589,37.6797353982925,SIMPLEA
11,29.9513704339663,41.5999549335904,SIMPLEA
12,28.0791727998427,34.0515393508805,SIMPLEA
13,25.1876247296021,39.4384520027373,SIMPLEA
14,25.0670069941453,37.1770759688483,SIMPLEA
15,22.4001326117487,30.1022406743632,SIMPLEA
16,21.0528045471225,32.9448862910271,SIMPLEA
17,18.2958369436718,33.7210129857063,SIMPLEA
18,18.3885439147552,35.8641207185056,SIMPLEA
19,15.9081277808263,30.8212467895614,SIMPLEA
20,15.5924130480914,29.2260963426696,SIMPLEA
21,13.2639508924314,32.0408249358336,SIMPLEA
22,12.3691277362051,31.0905061105887,SIMPLEA
23,11.6770177360092,33.5991212609741,SIMPLEA
24,10.483219103728,27.9380753484037,SIMPLEA
25,10.2589009639053,31.6414875649744,SIMPLEA
26,9.05075830639828,27.8977863636282,SIMPLEA
27,8.38279124867348,30.4145955676834,SIMPLEA
28,7.91428713166998,29.0120806531774,SIMPLEA
29,7.38531680179849,30.773725041416,SIMPLEA
30,6.39155302909868,29.1227253221803,SIMPLEA
31,7.36110923609563,29.198567453689,SIMPLEA
32,6.33997726639112,30.2487613787254,SIMPLEA
33,5.58022308773583,26.2785805008478,SIMPLEA
34,5.29484861358291,26.6510252552728,SIMPLEA
35,4.52098469326184,27.7299651831388,SIMPLEA
36,5.35237740932831,29.0132900466522,SIMPLEA
37,5.27545112334192,30.6721058173312,SIMPLEA
38,3.82240086925172,26.9377694835265,SIMPLEA
39,3.24656357288006,28.8255147344536,SIMPLEA
40,4.38093336825924,27.4140945510732,SIMPLEA
41,3.45446019518588,26.7954758663144,SIMPLEA
42,3.73277787395886,25.3571267060935,SIMPLEA
43,3.52768328601406,28.0292109981179,SIMPLEA
44,3.19887119473978,27.0762532008191,SIMPLEA
45,2.78139991762028,27.4414840410153,SIMPLEA
46,3.20906301486705,25.4785822773973,SIMPLEA
47,2.51927041869965,29.3243677831358,SIMPLEA
48,3.11825634414951,26.2341398828559,SIMPLEA
49,2.54284072403929,25.3373335234821,SIMPLEA
50,3.17080669307283,27.7892458097802,SIMPLEA
51,2.36846514596116,25.4634845371048,SIMPLEA
52,2.11011779628517,24.8880548586862,SIMPLEA
53,2.44246611733965,28.2351278450754,SIMPLEA
54,2.17670269691873,27.3080362389485,SIMPLEA
55,2.13228423431338,26.3834272523307,SIMPLEA
56,2.21269934427525,25.1787234033975,SIMPLEA
57,1.92749303683106,26.9119773139556,SIMPLEA
58,2.22424557212563,25.3214509502467,SIMPLEA
59,1.46799956072743,25.0410729582111,SIMPLEA
60,1.85059200837942,24.8424466869069,SIMPLEA
61,1.97395093891592,27.7325505627526,SIMPLEA
62,2.23893982018566,26.446908358112,SIMPLEA
63,1.1527097657589,25.8644692394882,SIMPLEA
64,1.74480889798807,25.6271111966007,SIMPLEA
65,1.62894181865933,25.6772477981117,SIMPLEA
66,1.60888179724681,24.6642989137934,SIMPLEA
67,1.38015959742701,24.0203526252674,SIMPLEA
68,1.07665139554689,23.6231065609803,SIMPLEA
69,1.84647235378091,28.1107425919837,SIMPLEA
70,2.44762160887587,25.1882112022696,SIMPLEA
71,0.947277577571748,25.1572403737654,SIMPLEA
72,1.26537487321489,25.5560935528742,SIMPLEA
73,1.01286479211634,26.0562359099794,SIMPLEA
74,1.63386651273551,25.7656237401068,SIMPLEA
75,2.15465952810787,27.1450323914488,SIMPLEA
76,0.915094784416613,24.899488271628,SIMPLEA
77,0.656326269930495,25.229557815815,SIMPLEA
78,1.23795514306763,24.7610748480592,SIMPLEA
79,1.06684133723556,26.5021210837281,SIMPLEA
80,1.9711126250481,27.2345258175499,SIMPLEA
81,1.542946585474,26.8496397927403,SIMPLEA
82,0.726279522984155,25.4411832034174,SIMPLEA
83,0.592685880099556,25.1283609524369,SIMPLEA
84,1.27615992537966,24.8072688206616,SIMPLEA
85,1.31950530082076,25.8591312896874,SIMPLEA
86,1.63774269578446,27.4232474198772,SIMPLEA
87,0.955721577769145,26.6343144060423,SIMPLEA
88,0.735012834756413,25.9545344260004,SIMPLEA
89,0.736674369818398,25.5105355009437,SIMPLEA
90,0.840583837784028,24.8690259505684,SIMPLEA
91,0.850980828547229,25.4532870748391,SIMPLEA
92,2.06469850982761,27.2921765672664,SIMPLEA
93,0.900477186213469,26.0583787792259,SIMPLEA
94,0.570267025946772,24.7689926854231,SIMPLEA
95,0.681834769834365,24.8120618069337,SIMPLEA
96,0.69381629183578,25.3603709708692,SIMPLEA
97,1.44869127389753,28.9895222480098,SIMPLEA
98,0.972538662750629,25.3670446156835,SIMPLEA
99,0.541183794012648,25.9498058902721,SIMPLEA
0,804.51846523739,687.520058377584,SIMPLEN
1,647.811462193444,661.353975486755,SIMPLEN
2,630.688901619684,548.591908560859,SIMPLEN
3,228.721532764889,129.361051008436,SIMPLEN
4,74.6355197883788,69.695656935374,SIMPLEN
5,51.9818153563,55.6848866886563,SIMPLEN
6,45.6529842774073,74.753253364563,SIMPLEN
7,38.488144333022,42.3086828390757,SIMPLEN
8,32.9382299139386,53.3336187309689,SIMPLEN
9,31.1455487432934,42.6666198253632,SIMPLEN
10,26.8525499775296,51.731821902593,SIMPLEN
11,25.272555188338,33.6131765047709,SIMPLEN
12,23.7660061881656,33.4662701076931,SIMPLEN
13,18.5519978333087,34.4305973741743,SIMPLEN
14,17.5580066309089,32.8618896404902,SIMPLEN
15,14.4607698153882,27.47973607911,SIMPLEN
16,14.3648720636254,28.0372001197603,SIMPLEN
17,12.7498580509708,27.2084977613555,SIMPLEN
18,11.2304101821922,26.7114262792799,SIMPLEN
19,9.79009708208697,23.8608858121766,SIMPLEN
20,9.23980226474149,31.2716533025106,SIMPLEN
21,8.30097405484744,29.7952454619937,SIMPLEN
22,7.90135270357132,25.0623567236794,SIMPLEN
23,7.37629883771851,23.2246537764867,SIMPLEN
24,6.17967057575782,28.386542737484,SIMPLEN
25,6.83225476628258,23.4963975912995,SIMPLEN
26,4.92355951319138,26.2421324696806,SIMPLEN
27,5.47751286909694,22.4422575977113,SIMPLEN
28,4.87157023314919,21.2016688240899,SIMPLEN
29,4.73699688492786,20.8309898157914,SIMPLEN
30,4.25278656631708,22.2855538249016,SIMPLEN
31,4.331439292218,23.6436503019598,SIMPLEN
32,4.14469974175805,19.0560728040006,SIMPLEN
33,3.51172671470614,20.4685058156649,SIMPLEN
34,3.67477844364586,20.657907258802,SIMPLEN
35,3.20952683680114,20.0514164639844,SIMPLEN
36,2.71329343982396,19.8751290983624,SIMPLEN
37,3.90993747530239,20.8501629312833,SIMPLEN
38,3.24597046403658,19.3562128769027,SIMPLEN
39,2.56918857463059,22.5098776966333,SIMPLEN
40,3.54403807258322,21.4738434361087,SIMPLEN
41,2.42366308349939,19.8268846425745,SIMPLEN
42,1.83194070822071,18.0055415226354,SIMPLEN
43,3.49267299242672,20.880938863092,SIMPLEN
44,2.17802720465476,18.0484039276838,SIMPLEN
45,1.81071988106484,18.496128676335,SIMPLEN
46,2.15869929527953,23.0931862268183,SIMPLEN
47,2.81909553188653,20.1541089044677,SIMPLEN
48,1.82760170811699,18.6256972504987,SIMPLEN
49,1.60973759185345,19.5765523925424,SIMPLEN
50,2.60266514837387,20.7604312065575,SIMPLEN
51,1.57309007465485,19.6667254717814,SIMPLEN
52,1.37316845653667,18.3276713599761,SIMPLEN
53,2.46796087700696,22.1880602131287,SIMPLEN
54,1.35851140958922,18.9831751068433,SIMPLEN
55,1.07431658956976,19.6321978170011,SIMPLEN
56,1.90693698170639,25.5105193853378,SIMPLEN
57,2.28601911491936,18.9444563665324,SIMPLEN
58,1.08679243967469,18.1736092410982,SIMPLEN
59,1.28627276417932,18.1121160770456,SIMPLEN
60,2.51824728430559,20.3325884315703,SIMPLEN
61,1.09822268619069,17.7853357440896,SIMPLEN
62,0.773861342145219,17.4194898484482,SIMPLEN
63,1.04843230505607,20.5160817835066,SIMPLEN
64,2.73307588639713,22.1031141585774,SIMPLEN
65,1.12301408368207,19.7126102775335,SIMPLEN
66,0.782652418138016,18.2703629200657,SIMPLEN
67,0.895598876325502,17.7556784869896,SIMPLEN
68,1.70561420512164,21.6066315319803,SIMPLEN
69,1.81160473007531,18.5421277896398,SIMPLEN
70,0.737909950848137,17.9098480374449,SIMPLEN
71,0.639789392116169,18.0917044432627,SIMPLEN
72,1.09341370764942,19.4748528761996,SIMPLEN
73,1.99176917115138,21.37240153667,SIMPLEN
74,1.4402296303461,20.7831502270367,SIMPLEN
75,0.705669895940948,18.4149285768055,SIMPLEN
76,0.670350699179939,19.6202947530482,SIMPLEN
77,0.817454866967386,18.2829374500447,SIMPLEN
78,0.830183943600527,27.2190229833126,SIMPLEN
79,1.60882498008155,18.7436698822512,SIMPLEN
80,0.742907196230122,18.4542878259387,SIMPLEN
81,0.786660664617306,18.0484923161566,SIMPLEN
82,0.971582227900979,18.9572033308446,SIMPLEN
83,0.61374617058429,17.903134780046,SIMPLEN
84,0.830773960209141,18.6511483103037,SIMPLEN
85,1.21291001683012,22.3934591141012,SIMPLEN
86,1.17188614083543,19.4209624084334,SIMPLEN
87,0.638122354403493,18.3222149663915,SIMPLEN
88,0.623269267930161,19.0404525679847,SIMPLEN
89,0.879696133165132,20.673139162403,SIMPLEN
90,0.806423253965165,22.0121099954678,SIMPLEN
91,0.897241397751939,18.416339925718,SIMPLEN
92,0.8692531292105,21.620084100465,SIMPLEN
93,0.588220541046134,18.2217547607091,SIMPLEN
94,0.611731015571526,20.5402507066727,SIMPLEN
95,1.29439828951976,19.057010994893,SIMPLEN
96,0.475715069415137,17.8950761799183,SIMPLEN
97,0.483648903295398,18.0992357097566,SIMPLEN
98,0.626748498626763,18.5054976405369,SIMPLEN
99,1.1817637421102,25.6374077955054,SIMPLEN
